City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
350,thunder bay,20,CA,1554391258,62,48.41,-89.26,32,3.36
351,sarankhola,0,BD,1554391325,80,22.31,89.79,81.43,8.99
352,dillon,20,US,1554391038,80,45.22,-112.64,41,9.17
353,namibe,0,AO,1554391326,100,-15.19,12.15,79.63,10.33
354,meulaboh,8,ID,1554391326,100,4.14,96.13,81.25,3.74
355,santa cruz,90,US,1554391326,100,36.97,-122.03,57,5.82
356,kudahuvadhoo,0,MV,1554391267,100,2.67,72.89,83.23,2.17
357,damara,8,CF,1554391329,52,4.96,18.7,91.87,8.55
358,exeter,40,GB,1554391260,70,50.73,-3.53,48,13.87
359,montalvo,20,ES,1554388200,30,40.94,-5.66,53.6,14.99
360,mapiripan,44,CO,1554391330,61,2.89,-72.13,87.37,11.12
361,machado,20,BR,1554386400,45,-21.69,-45.92,84.2,6.93
362,quang ngai,44,VN,1554391331,97,15.12,108.8,70.63,2.17
363,palencia,0,ES,1554391256,37,42.01,-4.53,53.01,17.22
364,saint-joseph,0,FR,1554391235,25,43.56,6.97,62.6,13.87
365,khandbari,32,NP,1554391332,74,27.38,87.21,37.15,1.05
366,komsomolskiy,92,RU,1554391333,90,67.55,63.78,31.39,15.7
367,belyy yar,0,RU,1554388200,37,53.6,91.39,35.6,4.47
368,sortland,20,NO,1554390984,59,68.69,15.42,36,6.93
369,belfast,56,GB,1554391215,61,54.6,-5.93,48.99,16.11
370,khirkiya,0,IN,1554391335,22,22.17,76.86,90.52,10.33
371,ixtapa,20,MX,1554391211,78,20.71,-105.21,75,1.61
372,kungurtug,92,RU,1554391336,96,50.6,97.53,30.94,3.51
373,setermoen,20,NO,1554390976,43,68.86,18.35,35.6,11.41
374,tonkino,0,RU,1554391336,84,57.37,46.46,35.89,5.53
375,bulgan,80,MN,1554391336,93,48.81,103.53,37.33,2.39
376,uribia,88,CO,1554391337,56,11.71,-72.27,85.03,17.05
377,yulara,0,AU,1554386400,33,-25.24,130.99,71.6,6.93
378,alofi,92,NU,1554390000,94,-19.06,-169.92,71.6,3.36
379,la ronge,90,CA,1554386400,85,55.1,-105.3,19.4,8.05
380,kalat,0,PK,1554391338,33,29.03,66.58,62.8,5.64
381,la rioja,44,AR,1554391339,76,-29.41,-66.86,78.19,7.43
382,gobabis,36,NA,1554391339,36,-22.45,18.97,82.06,12.91
383,mantua,75,IT,1554391324,93,45.16,10.79,59,8.05
384,atherton,92,GB,1554391082,75,53.52,-2.49,48,12.75
